Timestamp,Record number,Average Water Speed,Average Water Direction,Chlorophyll,Temperature,Dissolved Oxygen,Dissolved Oxygen (%Saturation),pH,Salinity,Specific Conductance,Turbidity
2023/8/5 19:00,1513,4.883,133.008,3.631,20.286,7.73,105.193,8.169,35.236,53.292,1.729
2023/8/5 19:30,1514,7.22,87.365,2.7,20.242,7.667,104.245,8.162,35.22,53.27,1.994
2023/8/5 20:00,1515,5.561,92.111,3.022,20.239,7.607,103.431,8.162,35.233,53.287,2.089
2023/8/5 20:30,1516,6.145,67.294,3.226,20.231,7.486,101.772,8.159,35.22,53.27,2.263
2023/8/5 21:00,1517,9.999,56.314,1.939,20.187,7.49,101.73,8.154,35.218,53.268,2.67
2023/8/5 21:30,1518,4.373,58.198,2.262,20.198,7.556,102.674,8.16,35.256,53.318,2.432
2023/8/5 22:00,1519,6.812,135.905,2.246,20.197,7.567,102.843,8.161,35.277,53.346,2.308
2023/8/5 22:30,1520,5.073,193.576,1.855,20.137,7.523,102.094,8.159,35.24,53.296,2.156
2023/8/5 23:00,1521,6.158,138.562,2.097,20.217,7.579,103.054,8.163,35.298,53.374,2.074
2023/8/5 23:30,1522,2.442,32.72,1.935,20.147,7.554,102.561,8.159,35.277,53.346,2.137
2023/8/6 0:00,1523,5.268,139.379,2.016,20.115,7.538,102.308,8.161,35.286,53.358,1.978
2023/8/6 0:30,1524,2.458,298.551,2.019,20.1,7.507,101.856,8.162,35.288,53.361,1.968
2023/8/6 1:00,1525,3.045,299.283,2.079,20.058,7.473,101.314,8.165,35.29,53.363,1.937
2023/8/6 1:30,1526,2.43,154.584,1.691,19.947,7.488,101.287,8.163,35.237,53.291,1.859
2023/8/6 2:00,1527,3.806,212.645,1.716,19.911,7.482,101.141,8.168,35.255,53.315,1.727
2023/8/6 2:30,1528,1.814,14.762,1.483,19.844,7.073,95.48,8.174,35.237,53.291,1.694
2023/8/6 3:00,1529,2.075,131.614,1.258,19.86,4.837,65.322,8.163,35.255,53.316,1.632
2023/8/6 3:30,1530,3.39,150.115,1.238,19.851,6.797,91.788,8.173,35.258,53.32,8.774
2023/8/6 4:00,1531,1.499,320.638,1.2,19.875,6.908,93.329,8.162,35.271,53.338,1.614
2023/8/6 4:30,1532,4.127,236.604,1.037,19.823,7.075,95.488,8.181,35.259,53.321,3.423
2023/8/6 5:00,1533,3.224,175.356,1.089,19.81,7.275,98.166,8.177,35.26,53.322,1.699
2023/8/6 5:30,1534,7.303,349.688,1.45,19.806,7.113,95.962,8.165,35.252,53.311,1.688
2023/8/6 6:00,1535,2.22,280.807,1.179,19.706,7.188,96.721,8.168,35.11,53.119,1.871
2023/8/6 6:30,1536,2.855,293.492,1.521,19.58,7.159,96.091,8.166,35.091,53.094,1.618
2023/8/6 7:00,1537,3.393,171.24,1.823,19.72,7.271,97.911,8.157,35.188,53.225,1.917
2023/8/6 7:30,1538,2.8,335.602,2.064,19.579,7.259,97.416,8.164,35.047,53.034,2.284
2023/8/6 8:00,1539,5.243,125.408,2.49,19.533,7.297,97.689,8.16,34.791,52.689,1.906
2023/8/6 8:30,1540,7.264,54.074,2.175,19.592,7.364,98.711,8.161,34.83,52.742,1.817
2023/8/6 9:00,1541,7.108,8.131,1.563,19.627,7.372,98.855,8.16,34.79,52.687,1.815
2023/8/6 9:30,1542,4.576,108.877,1.017,19.745,7.404,99.637,8.161,35.018,52.995,1.812
2023/8/6 10:00,1543,2.718,166.679,0.719,19.943,7.367,99.553,8.151,35.103,53.111,1.924
2023/8/6 10:30,1544,3.614,357.435,1.098,19.841,7.381,99.635,8.157,35.233,53.286,2.164
2023/8/6 11:00,1545,10.945,97.167,0.69,19.989,7.368,99.425,8.151,34.727,52.604,1.822
2023/8/6 11:30,1546,6.688,287.494,0.5,19.689,7.591,101.675,8.163,34.384,52.14,1.578
2023/8/6 12:00,1547,2.369,46.476,0.669,19.651,7.617,101.829,8.162,34.179,51.861,1.593
2023/8/6 12:30,1548,5.686,280.488,0.312,19.745,7.652,102.636,8.166,34.456,52.237,1.625
2023/8/6 13:00,1549,4.989,169.829,0.938,19.834,7.62,102.336,8.162,34.374,52.127,1.606
2023/8/6 13:30,1550,9.735,270.718,0.753,19.891,7.655,102.902,8.163,34.386,52.143,1.486
2023/8/6 14:00,1551,4.056,180.288,1.1,20.002,7.688,103.61,8.163,34.461,52.245,1.523
2023/8/6 14:30,1552,3.767,3.544,1.122,20.111,7.7,104.059,8.164,34.595,52.426,1.492
2023/8/6 15:00,1553,6.449,301.403,1.419,20.025,7.725,104.239,8.166,34.611,52.448,1.46
2023/8/6 15:30,1554,1.807,300.202,1.508,20.007,7.745,104.484,8.167,34.597,52.429,1.519
2023/8/6 16:00,1555,2.063,345.428,1.882,20.137,7.754,104.957,8.168,34.786,52.684,1.596
2023/8/6 16:30,1556,8.223,311.858,2.403,20.177,7.754,105.082,8.168,34.843,52.762,1.647
2023/8/6 17:00,1557,1.108,49.474,1.921,20.191,7.753,105.087,8.171,34.848,52.768,1.784
2023/8/6 17:30,1558,4.325,257.232,2.477,20.162,7.72,104.553,8.169,34.777,52.672,1.598
2023/8/6 18:00,1559,6.577,268.974,2.193,20.08,7.704,104.178,8.168,34.801,52.705,1.542
2023/8/6 18:30,1560,2.485,222.341,2.933,20.11,7.69,104.092,8.171,34.862,52.787,1.721
2023/8/6 19:00,1561,1.436,280.774,3.077,20.097,7.593,102.752,8.167,34.859,52.783,1.596
2023/8/6 19:30,1562,7.124,307.931,2.467,20.081,7.437,100.606,8.173,34.847,52.766,1.672
2023/8/6 20:00,1563,4.461,111.144,3.015,19.874,7.573,101.921,8.17,34.629,52.471,1.528
2023/8/6 20:30,1564,6.035,57.49,2.65,19.934,7.578,102.163,8.168,34.716,52.588,1.723
2023/8/6 21:00,1565,6.632,134.631,3.418,19.814,7.486,100.608,8.173,34.572,52.394,1.752
2023/8/6 21:30,1566,1.007,11.231,2.819,19.808,7.551,101.435,8.177,34.507,52.307,1.932
2023/8/6 22:00,1567,9.464,109.12,2.459,19.876,7.619,102.548,8.164,34.622,52.462,1.97
2023/8/6 22:30,1568,3.465,47.264,2.68,19.849,7.542,101.467,8.171,34.636,52.481,1.891
2023/8/6 23:00,1569,4.015,39.936,2.589,19.944,7.57,102.147,8.164,34.859,52.781,1.97
2023/8/6 23:30,1570,3.502,325.459,2.276,19.964,7.612,102.746,8.181,34.829,52.742,2.005
2023/8/7 0:00,1571,2.338,307.502,2.395,19.794,7.486,100.531,8.17,34.484,52.275,1.666
2023/8/7 0:30,1572,0.93,89.081,1.918,18.864,7.679,99.878,8.183,32.031,48.937,2.158
2023/8/7 1:00,1573,3.42,240.094,1.61,19.387,7.546,100.285,8.169,34.003,51.622,1.707
2023/8/7 1:30,1574,3.221,274.423,1.654,19.418,7.43,98.926,8.165,34.215,51.91,1.644
2023/8/7 2:00,1575,0.487,190.326,1.621,19.583,7.357,98.364,8.161,34.413,52.178,1.592
2023/8/7 2:30,1576,2.703,71.206,1.982,19.338,7.45,98.98,8.169,34.097,51.751,1.677
2023/8/7 3:00,1577,5.289,200.459,1.64,18.914,7.558,99.31,8.179,33.578,51.046,1.781
2023/8/7 3:30,1578,9.622,25.031,0.966,18.83,7.556,99.206,8.177,33.715,51.232,1.786
2023/8/7 4:00,1579,4.807,21.064,1.335,18.599,7.58,98.933,8.18,33.431,50.848,1.677
2023/8/7 4:30,1580,6.428,116.583,1.669,18.477,7.571,98.498,8.18,33.278,50.64,1.662
2023/8/7 5:00,1581,3.793,344.655,1.412,18.289,7.485,96.956,8.184,33.16,50.481,1.71
2023/8/7 5:30,1582,1.924,278.535,1.292,18.281,7.484,96.9,8.188,33.108,50.41,2.221
2023/8/7 6:00,1583,7.791,210.107,1.272,18.589,7.477,97.562,8.177,33.42,50.833,1.617
2023/8/7 6:30,1584,5.884,106.013,0.645,19.02,7.359,97.116,8.178,33.987,51.601,1.695
2023/8/7 7:00,1585,7.526,324.104,1.171,18.585,7.462,97.25,8.179,33.228,50.572,1.662
2023/8/7 7:30,1586,6.292,10.275,0.968,18.25,7.467,96.486,8.181,32.836,50.039,1.726
2023/8/7 8:00,1587,5.051,13.408,1.057,18.095,7.553,97.45,8.181,33.102,50.403,1.645
2023/8/7 8:30,1588,2.848,42.616,1.345,18.177,7.548,97.678,8.184,33.334,50.718,1.784
2023/8/7 9:00,1589,7.19,79.001,1.695,18.565,7.649,99.936,8.182,33.721,51.242,1.571
2023/8/7 9:30,1590,3.785,81.231,0.529,18.474,7.612,99.125,8.178,33.468,50.898,1.627
2023/8/7 10:00,1591,10.582,85.284,0.623,18.8,7.522,98.81,8.166,33.873,51.448,1.493
2023/8/7 10:30,1592,1.57,268.958,0.312,19.231,8.058,106.89,8.185,34.172,51.851,1.702
2023/8/7 11:00,1593,2.664,133.089,0.427,19.188,7.928,104.892,8.181,33.874,51.447,1.683
2023/8/7 11:30,1594,2.967,357.324,0.356,19.086,7.997,105.399,8.185,33.539,50.993,1.594
2023/8/7 12:00,1595,6.189,338.894,0.708,19.008,7.988,105.012,8.185,33.365,50.757,1.65
2023/8/7 12:30,1596,4.748,255.567,0.703,19.141,7.949,104.783,8.182,33.411,50.82,1.585
2023/8/7 13:00,1597,5.12,240.687,1.187,19.212,7.983,105.393,8.184,33.443,50.863,1.635
2023/8/7 13:30,1598,8.883,186.733,1.17,19.39,7.942,105.345,8.178,33.678,51.182,1.656
2023/8/7 14:00,1599,5.431,214.683,0.997,19.59,7.929,105.7,8.176,33.899,51.482,1.502
2023/8/7 14:30,1600,5.527,202.548,1.45,19.729,7.944,106.268,8.177,34.051,51.689,1.6
2023/8/7 15:00,1601,13.385,102.786,1.363,19.804,7.879,105.712,8.177,34.316,52.047,1.707
2023/8/7 15:30,1602,4.691,311.609,1.774,19.83,7.825,105.067,8.177,34.374,52.126,1.815
2023/8/7 16:00,1603,7.326,337.209,2.154,19.816,7.932,106.528,8.174,34.444,52.22,1.779
2023/8/7 16:30,1604,7.234,129.689,2.16,19.8,7.932,106.519,8.176,34.48,52.269,1.697
2023/8/7 17:00,1605,4.725,57.026,2.654,19.773,7.934,106.46,8.176,34.443,52.219,1.633
2023/8/7 17:30,1606,3.993,265.983,3.121,19.728,7.912,106.086,8.178,34.453,52.233,1.863
2023/8/7 18:00,1607,4.83,292.268,3.73,19.686,7.667,102.739,8.179,34.46,52.243,1.726
2023/8/7 18:30,1608,4.343,204.536,3.065,19.659,7.907,105.913,8.177,34.49,52.282,1.786
2023/8/7 19:00,1609,5.654,226.281,3.134,19.609,7.883,105.487,8.174,34.487,52.279,1.692
2023/8/7 19:30,1610,4.526,265.75,3.141,19.261,7.829,103.914,8.172,34.185,51.869,1.571
2023/8/7 20:00,1611,2.778,23.001,2.647,19.384,7.747,103.014,8.164,34.125,51.788,1.622
2023/8/7 20:30,1612,4.917,35.378,3.057,19.351,7.827,104.046,8.173,34.174,51.855,1.779
2023/8/7 21:00,1613,7.667,88.461,3.623,19.466,7.81,104.159,8.172,34.355,52.1,1.729
2023/8/7 21:30,1614,2.14,91.092,3.842,19.479,7.768,103.659,8.172,34.409,52.173,1.85
2023/8/7 22:00,1615,1.972,87.432,3.519,19.426,7.752,103.389,8.173,34.492,52.284,1.737
2023/8/7 22:30,1616,5.25,48.93,3.721,19.372,7.626,101.544,8.172,34.371,52.121,1.989
2023/8/7 23:00,1617,9.647,114.565,4.061,19.341,7.377,98.158,8.171,34.362,52.109,1.902
2023/8/7 23:30,1618,4.121,352.179,3.64,19.259,7.543,100.19,8.176,34.312,52.041,2.017
2023/8/8 0:00,1619,2.862,340.374,3.397,19.2,7.046,93.471,8.175,34.293,52.015,1.904
2023/8/8 0:30,1620,1.028,42.307,3.999,19.24,7.596,100.86,8.173,34.325,52.059,2.038
2023/8/8 1:00,1621,4.858,142.356,3.041,19.386,7.422,98.885,8.172,34.443,52.218,2.061
2023/8/8 1:30,1622,6.461,126.614,3.105,19.253,7.632,101.399,8.178,34.373,52.124,1.823
2023/8/8 2:00,1623,3.625,186.436,2.935,19.264,7.663,101.851,8.171,34.408,52.172,1.958
2023/8/8 2:30,1624,1.974,332.593,2.384,19.252,7.649,101.653,8.17,34.43,52.202,1.96
2023/8/8 3:00,1625,3.2,10.717,2.833,19.177,7.65,101.516,8.17,34.418,52.184,1.815
2023/8/8 3:30,1626,2.363,238.173,2.697,19.105,7.624,101.015,8.17,34.369,52.119,1.783
2023/8/8 4:00,1627,3.393,184.045,2.388,19.133,7.566,100.358,8.167,34.465,52.248,1.717
2023/8/8 4:30,1628,3.535,58.232,2.282,19.074,7.556,100.122,8.168,34.478,52.266,1.72
2023/8/8 5:00,1629,6.814,291.09,2.123,19.081,7.516,99.629,8.165,34.513,52.314,1.696
2023/8/8 5:30,1630,2.042,82.771,2.212,19.008,7.487,99.118,8.164,34.55,52.364,1.7
2023/8/8 6:00,1631,5.013,175.283,2.33,18.952,7.486,98.994,8.164,34.525,52.329,1.732
2023/8/8 6:30,1632,6.962,308.617,2.767,18.755,7.477,98.409,8.166,34.347,52.089,1.708
2023/8/8 7:00,1633,6.204,172.789,2.564,18.603,7.486,98.149,8.163,34.195,51.885,1.667
2023/8/8 7:30,1634,0.736,233.441,3.04,19.173,7.325,97.327,8.156,34.649,52.498,1.483
2023/8/8 8:00,1635,4.919,290.185,3.333,18.914,7.444,98.325,8.162,34.458,52.239,1.57
2023/8/8 8:30,1636,3.192,328.132,5.208,18.914,7.528,99.427,8.167,34.455,52.235,1.636
2023/8/8 9:00,1637,3.509,12.136,4.286,18.985,7.534,99.675,8.164,34.516,52.318,1.652
2023/8/8 9:30,1638,2.767,279.625,3.54,18.885,7.555,99.695,8.166,34.379,52.132,1.597
2023/8/8 10:00,1639,5.805,83.65,3.762,19.011,7.585,100.42,8.166,34.527,52.332,1.618
2023/8/8 10:30,1640,2.348,111.646,2.261,19.034,7.597,100.591,8.165,34.491,52.283,1.743
2023/8/8 11:00,1641,5.521,90.921,3.041,19.055,7.563,100.247,8.161,34.593,52.421,1.912
2023/8/8 11:30,1642,8.57,319.86,2.168,19.111,7.487,99.37,8.156,34.65,52.498,2.165
2023/8/8 12:00,1643,7.808,291.931,2.183,19.111,7.748,102.762,8.169,34.545,52.356,1.886
2023/8/8 12:30,1644,5.174,238.143,1.467,19.179,7.921,105.139,8.176,34.452,52.23,1.69
2023/8/8 13:00,1645,6.697,337.284,1.709,19.279,8.065,107.274,8.182,34.496,52.29,1.703
2023/8/8 13:30,1646,1.148,269.414,1.856,19.373,8.124,108.295,8.185,34.553,52.367,1.752
2023/8/8 14:00,1647,3.128,130.359,2.301,19.41,8.131,108.46,8.185,34.558,52.375,1.856
2023/8/8 14:30,1648,6.519,217.125,2.845,19.42,8.099,108.058,8.182,34.57,52.39,1.941
2023/8/8 15:00,1649,12.796,245.38,3.256,19.427,8.074,107.762,8.18,34.597,52.427,2.133
2023/8/8 15:30,1650,1.924,180.584,3.877,19.429,8.08,107.846,8.181,34.609,52.443,2.017
2023/8/8 16:00,1651,3.437,244.925,3.442,19.43,8.075,107.787,8.182,34.616,52.452,2.003
2023/8/8 16:30,1652,6.012,264.201,3.366,19.416,8.1,108.104,8.183,34.616,52.453,2.055
2023/8/8 17:00,1653,3.448,24.877,2.963,19.405,8.08,107.806,8.182,34.633,52.475,2.166
2023/8/8 17:30,1654,7.372,88.602,3.362,19.37,8.078,107.711,8.184,34.626,52.466,2.121
2023/8/8 18:00,1655,5.209,236.522,3.415,19.357,8.024,106.977,8.182,34.654,52.504,2.144
2023/8/8 18:30,1656,5.011,181.695,3.262,19.333,7.963,106.144,8.18,34.685,52.545,2.014
2023/8/8 19:00,1657,7.686,123.745,3.655,19.322,7.871,104.92,8.181,34.724,52.598,2.048
2023/8/8 19:30,1658,1.956,186.309,3.829,19.299,7.857,104.691,8.178,34.713,52.583,1.874
2023/8/8 20:00,1659,3.319,217.274,3.507,19.275,7.826,104.231,8.177,34.718,52.591,1.821
2023/8/8 20:30,1660,0.982,77.353,2.889,19.252,7.747,103.145,8.175,34.745,52.627,1.938
2023/8/8 21:00,1661,3.829,150.906,3.173,19.187,7.675,102.075,8.173,34.75,52.633,1.877
2023/8/8 21:30,1662,3.984,107.635,3.366,19.173,7.635,101.52,8.172,34.761,52.649,1.89
2023/8/8 22:00,1663,2.698,156.474,3.468,19.169,7.634,101.501,8.172,34.76,52.647,1.846
2023/8/8 22:30,1664,4.27,331.382,3.65,19.135,7.604,101.024,8.171,34.748,52.631,1.91
2023/8/8 23:00,1665,4.805,308.279,4.052,19.09,7.498,99.547,8.172,34.751,52.635,1.842
2023/8/8 23:30,1666,2.302,183.367,4.121,19.094,7.426,98.593,8.173,34.757,52.643,2.018
2023/8/9 0:00,1667,5.049,198.15,3.842,19.003,7.155,94.797,8.164,34.697,52.562,1.946
2023/8/9 0:30,1668,0.361,334.625,4.059,19.058,7.533,99.933,8.168,34.736,52.614,1.752
2023/8/9 1:00,1669,1.077,152.307,4.141,18.993,7.428,98.408,8.167,34.711,52.581,1.873
2023/8/9 1:30,1670,3.039,215.683,3.627,18.916,7.538,99.714,8.164,34.696,52.562,1.924
2023/8/9 2:00,1671,1.528,281.623,3.093,18.929,7.513,99.413,8.163,34.718,52.591,1.838
2023/8/9 2:30,1672,3.15,272.221,2.951,18.927,7.483,99.016,8.163,34.723,52.597,1.842
2023/8/9 3:00,1673,2.163,58.62,3.15,18.913,7.452,98.578,8.161,34.715,52.587,1.812
2023/8/9 3:30,1674,2.515,41.114,3.81,18.863,7.376,97.483,8.162,34.707,52.576,2.053
2023/8/9 4:00,1675,1.512,256.813,2.959,18.864,7.282,96.253,8.157,34.722,52.597,1.729
2023/8/9 4:30,1676,1.056,179.04,2.653,18.802,6.787,89.596,8.172,34.724,52.599,4.445
2023/8/9 5:00,1677,8.473,189.936,2.952,18.802,7.343,96.934,8.159,34.711,52.582,1.81
2023/8/9 5:30,1678,2.237,131.308,2.436,18.746,7.297,96.229,8.154,34.723,52.599,1.634
2023/8/9 6:00,1679,2.063,94.185,2.244,18.714,7.262,95.711,8.153,34.71,52.58,1.604
2023/8/9 6:30,1680,2.463,110.232,2.647,18.676,7.232,95.247,8.153,34.708,52.578,1.65
2023/8/9 7:00,1681,6.203,6.502,2.753,18.601,7.27,95.608,8.154,34.704,52.573,1.653
2023/8/9 7:30,1682,7.926,287.031,4.006,18.644,7.257,95.531,8.155,34.744,52.627,1.793
2023/8/9 8:00,1683,2.084,19.957,5.69,18.618,7.31,96.192,8.156,34.755,52.642,1.748
2023/8/9 8:30,1684,2.479,200.498,5.524,18.588,7.37,96.919,8.16,34.744,52.627,1.775
2023/8/9 9:00,1685,2.807,191.309,4.865,18.605,7.428,97.724,8.162,34.742,52.624,1.86
2023/8/9 9:30,1686,0.821,145.557,4.053,18.649,7.536,99.231,8.168,34.747,52.63,1.777
2023/8/9 10:00,1687,3.229,102.68,3.691,18.675,7.67,101.03,8.172,34.741,52.622,1.811
2023/8/9 10:30,1688,3.042,97.938,3.27,18.707,7.661,100.97,8.171,34.744,52.626,1.862
2023/8/9 11:00,1689,8.473,85.704,1.632,18.819,7.617,100.61,8.164,34.75,52.635,1.831
2023/8/9 11:30,1690,2.741,344.166,1.372,19.342,8.122,108.386,8.181,34.853,52.772,1.784
2023/8/9 12:00,1691,8.288,76.763,2.057,19.107,7.758,103.05,8.167,34.798,52.699,2.357
2023/8/9 12:30,1692,8.028,116.45,1.651,19.249,7.87,104.813,8.171,34.804,52.706,2.075
2023/8/9 13:00,1693,5.314,50.605,1.557,19.346,7.885,105.21,8.169,34.809,52.714,2.085
2023/8/9 13:30,1694,5.088,34.55,1.299,19.404,7.804,104.222,8.162,34.776,52.668,2.296
2023/8/9 14:00,1695,5.836,154.556,2.182,19.443,7.93,106.005,8.169,34.822,52.73,2.081
2023/8/9 14:30,1696,1.53,17.843,2.112,19.549,7.912,105.963,8.165,34.808,52.712,2.291
2023/8/9 15:00,1697,6.343,78.149,2.539,19.591,8.113,108.773,8.178,34.85,52.769,2.014
2023/8/9 15:30,1698,3.287,229.265,2.848,19.562,8.221,110.158,8.183,34.849,52.768,1.97
2023/8/9 16:00,1699,6.118,146.147,2.744,19.572,8.219,110.16,8.183,34.852,52.771,1.943
2023/8/9 16:30,1700,7.653,173.561,2.769,19.531,8.171,109.427,8.18,34.855,52.775,1.941
2023/8/9 17:00,1701,7.58,75.309,2.823,19.519,8.154,109.165,8.182,34.848,52.766,1.961
2023/8/9 17:30,1702,5.612,128.714,3.059,19.442,8.122,108.6,8.181,34.855,52.775,2.161
2023/8/9 18:00,1703,2.522,173.061,3.637,19.427,8.084,108.052,8.179,34.868,52.792,1.915
2023/8/9 18:30,1704,3.655,15.13,3.62,19.369,8.021,107.109,8.178,34.867,52.792,1.976
2023/8/9 19:00,1705,1.726,257.245,3.911,19.379,7.998,106.833,8.177,34.881,52.81,2.069
2023/8/9 19:30,1706,7.237,134.833,3.705,19.34,7.951,106.119,8.175,34.877,52.805,2.051
2023/8/9 20:00,1707,5.52,333.477,3.57,19.316,7.917,105.627,8.175,34.88,52.809,2.024
2023/8/9 20:30,1708,2.765,316.803,4.41,19.309,7.82,104.327,8.178,34.898,52.833,2.055
2023/8/9 21:00,1709,4.901,125.911,4.236,19.347,7.723,103.113,8.176,34.907,52.845,1.891
2023/8/9 21:30,1710,1.534,298.616,3.542,19.341,7.765,103.659,8.175,34.915,52.856,1.877
2023/8/9 22:00,1711,4.495,260.75,3.802,19.286,7.33,97.756,8.177,34.911,52.85,1.765
2023/8/9 22:30,1712,2.408,124.323,3.806,19.249,7.446,99.219,8.182,34.89,52.822,2.188
2023/8/9 23:00,1713,1.485,329.687,2.967,19.269,7.412,98.815,8.173,34.901,52.837,2.142
2023/8/9 23:30,1714,3.188,244.919,3.893,19.238,7.364,98.104,8.177,34.894,52.827,2.334
2023/8/10 0:00,1715,4.71,176.882,3.952,19.208,7.075,94.205,8.173,34.884,52.814,1.938
2023/8/10 0:30,1716,2.802,200.226,4.178,19.206,7.406,98.61,8.176,34.886,52.818,2.316
2023/8/10 1:00,1717,3.645,252.592,3.375,19.207,7.193,95.768,8.181,34.89,52.822,2.042
2023/8/10 1:30,1718,3.279,171.4,3.545,19.216,7.323,97.525,8.171,34.899,52.835,2.154
2023/8/10 2:00,1719,2.513,251.092,2.923,19.207,6.339,84.409,8.169,34.906,52.844,1.892
2023/8/10 2:30,1720,1.823,207.115,3.098,19.192,7.064,94.031,8.17,34.901,52.837,2.425
2023/8/10 3:00,1721,4.582,135.098,3.009,19.17,7.307,97.223,8.17,34.898,52.833,4.12
2023/8/10 3:30,1722,3.48,262.798,2.828,19.113,7.578,100.726,8.163,34.887,52.819,1.649
2023/8/10 4:00,1723,3.786,41.575,3.355,19.075,7.571,100.554,8.165,34.884,52.814,1.58
